true, predicted, text
0,3,Somehow they decided it was okay to automatically autograt drinks and then below that add a line that says Tip! The only reason I noticed was because my two vodka sodas managed to be $25.30 here! My friend ordered some sushi and rock shrimp dish which he said was pretty good and I ordered the Teriyaki chicken which lacked any type of excitement. It was boiled chicken with a basic teryaki sauce- knda laughable considering the price!  Not sure if I'd come here for the food as the entetainment and dancing by the staff made for a better experience.
0,1,Poor service and not prepared well.---That is the review ---Don't need to say much more---Sent steaks back 2 times.  ---And it is a steak place---Enough said
0,3,I liked this place| until I found hair in my sushi! Unacceptable!!!  Brought it up to the server| and was unresponsive| didn't even offer to take it off the check or anything. Very disappointed. Never going back!
0,3,Their other location on eglinton and tenth line is superior in quality| portions and service. However| this place is much better than most of the quick service Lebanese/shawarma places. Their portions are substantial!
0,1,Great restaurant in the Cosmopolitan hotel. I ordered the salmon burger| and was very pleasantly surprised by the taste and quality of my meal. The salmon was a smoked fillet| and it was nice to see the place didn't take the easy route by making a salmon patty. I had to ask the waiter to take the bucket of fries away because they were so good and I couldn't stop eating them.------The best part of my meal was sitting at the bar| and talking to the nice woman next me. Vegas is all about  new people| food| and experiences| and that's just what I got at Holsteins.
0,3,Everything at this restaurant is done right from appetizers to dessert.  Our favorite meal is "Just for the Halibut".  They have a great wine list and the servers know how to pair them very well.  The desserts are homemade so save room.
0,3,Unimpressed.------I had been wanting to try this place because I am a fan of Mike Trivisonno's radio show on WTAM 1100. I learned from our server that the place is owned by Mike's son| who is also named Mike. ------I had the French onion soup and a crab cake sandwich. The soup was good. The atmosphere of a restaurant influences how the food tastes. I'll elaborate: the soup was good| but not as good as French onion I've had at another place recently--the other place had a warmer| cozy environment. Triv's by contrast| had a cold| dull| almost generic feeling. The bowl the soup was in was not visibly affected by the cheese in the soup to the extent that the cheese stuck to it (which would indicate that the soup was not| say| microwaved to cook the cheese over the top of the bowl). I mention this because in a better bowl of French onion soup| the cheese should be and would be charred to the bowl| indicating that it was baked in an oven| as opposed to microwaved. I realize I'm being nit-picky. But it's important. ------On to the crab cake sandwich: it was a grade below so-so. ------A note about my friend's meal: she ordered the "special of the day." Unfortunately she reported to me and our server that she could not detect too much that was special about the meal. It was fish--I think walleye| with pasta. The fish was reportedly very plain and the pasta was average--with some parmesan and maybe butter or olive oil. In other words| her meal was almost the *opposite* of special.
0,3,Excellent service on Tuesday night for a large group meeting.  Just had tomato basil soup but it was great! Reisling wine to top it off!  Restroom needed to have the diaper changer table safety belt replaced.
0,3,We were in last weekend| and it was not great. The food itself was pretty good| however there were some other issues. It took forever to get our order| and when we did it was incomplete. They had forgotten my daughter's meal. This is the second time in a row at this location we've experienced very slow service and a forgotten meal. Also| there were cockroaches crawling around| and when I let the manager know he didn't seem to care.
0,3,Amazing atmosphere| and great food! It has a nice modern updated look| kind of like a modern diner. Also has a terrasse and televisions with trending live sports. As a kosher restaurant| it is comparitively cheap but some items are somewhat pricey| like their asian dishes. Overall the portions are generous| and the quality is good. Service can take some time| but it is worth the wait in the end. If I could recommend some of their dishes| it would be the mergez baguette| shish taouk laffa or a classic shawarma pita. As for their sauces| I like their creamy and tangy burger sauce| and their insanely spicy sauce if you're up to it.
0,3,Great salads for a bagel shop! Fresh and full of a variety of vegetables. Their tuna salad is much better than average. ------Try the Tombstone Wrap if your in the mood. It looks delicious! Big enough for 2 meals. ------Friendly and fast service. ---BYW I love the new tables!---Thanks Nosh.....we'll be back.
0,3,I came here with my wife to satisfy a late night korean bbq craving| but truly fell for their incredible side dishes. The kim chi is delightfully spicy| and complements the massive amounts of meat available at a reasonable price. Service was prompt as well| but the restaurant wasn't too busy at the time. Highly recommended!
0,3,Where do i start ? Prepackaged pancakes or frozen french toast triangles.maybe its best to start at the mug of mud... I mean coffee. After dropping 40$ for my wife and i we were very disappointed and shocked at how subpar this breakfast buffet was. food quality is what i'd imagine prison food tastes like. The 2 stars are for the delicious orange juice(after the waiter finally brought it to us) along with the delicious bacon. I highly recommend any fastfood joint over this place. Im not sure how lunch or dinner is but luckily wont have to find out.
0,3,Hey guys. Today was my 3rd time in the shop. I'm really bummed out. Every visit| I've ordered the Barry B. with avocado. "We call it the 786..it's just the Barry B. with avocado. It saves you a couple cents" is what you all say. I appreciate you looking out for me| except for the fact that I've received avocado on my sando 0/3x. I used to work at Bunk sandwiches in Oregon; I know what it's like to work at a sandwich shop| so regardless of service| I tip $2.00 per sandwich..so c'mon. For the love of god| please put avocado on my fkn sandwich because I'm paying for it :( :( :(   you're killing me.------Other than that| this place is decent. Pricey| but understandable for a gourmet sandwich joint.------Ike's NO love and sandwiches :(
0,3,Wow and wow again! I loved this place!! Definitely was my favorite spot when I visited Phoenix. I think everyone should come here if they visit or even pass through. Totally worth it! Excellent margaritas and fast friendly service. And they serve elote!! The whole restaurant is made out of an old church so the decor and architecture go with that theme. Loved my time here. The food was excellent! I loved how they had old world and new world tacos lined out on their menu. So you can get carnitas and pastor but also duck! All decked out with different kinds of veggies and salsas. So rad! They have an amazing queso dip and their guacamole was perfect! I will most definitely come back to this cool spot the next time I'm in town!
0,1,Subs are good.  Reason I gave a 3 star is because I feel the customer service and time can step it up.  Second time I have been here and both times they are very slow at making the subs.  ------Tonight I walked in and order 3 subs.  I am the only customer in the joint.  4 employees working.  I place my order.  After I place my order| the cashier goes and sweeps|one gal starts to make the subs| another employee is cleaning the counter along the back wall and another is doing something else.  One would think that maybe another employee would stop what they were doing to help make 3 subs.  Nope| left it up to the girl and she was very slow.  A few other people walk in and order and then another employee starts on their subs.  Mind you| my order is still not complete.------I think I will stick with Subway next time.  More options| less expensive. Faster service and it still fills me up.
0,3,I should have listen to the reviews. I normally don't write reviews| but this place really stinks. I was hesitant to go after reading the reviews| but I figured I give it a try for myself. I sat at the bar and ordered some fried calamari as an appetizer and a salad as my main course. The calamari took forever and when I received| it was overcooked.  After another 20-30 minutes I asked about my salad and it was never made. This is probably the worst dining I've had in Vegas| I should have just ate at a food court and gotten better service and better food:
0,3,Went to Hoops just before a Jays game. Was really hungry| so I ordered a slam dunk burger. Umm.. No.---There was no flavour. Even with the bacon and cheese| still bland and not worth the price.  ---Some of my coworkers had their poutine| which they said was pretty good---The wait staff were great| however they might want to check id.---Turns out one of my coworkers was underage and was served alcohol.
0,3,Very friendly service.  The duck with red curry is the best. Duck is crispy on the outside juicy on the inside. The curry is full of flavor. Be careful of your spice level I ordered level 8 and was pouring sweat but didn't want to stop eating because it was SOOO good. My favorite place to eat
1,0,OMG... talk about bait and switch...------They build a whole new building and cut both the staff and the hours!------They don't know what to do with 2 ordering lanes... we have given up and started going to Steels Corner... such a shame!!
1,0,Slowest.......McDonald's........ever.  Do not| I repeat| DO NOT come here if you think you're going to just waltz through here on your way to work.  You'll be better off stopping at the farm to pick up your ham| eggs| and cheese to make your own McMuffin.  This is newly remodeled with two drive-thru lanes| which is hilarious considering they were ten times faster when they had just one.  I have been here on about four separate occasions that I can remember| three being drive-thru| and I have (not exaggerating in the least) waited 10-15 minutes every single time.  Of these four times not once did I go during a peak busy hour and sometimes I was the only one in line.  Not sure what they're doing in there but it definitely isn't fast...
1,0,I've been to the new and improved layout twice now| and twice now its taken forever to get food.  This time it took 15 minutes to get my food at 10pm at night.  To boot| they put my large sweet tea in a cup with a hole in the bottom.  Made a huge mess on me and the car.  Just drive further down to the Steels Corner McD's where they have their act together.
1,0,Only rating this based off my experience there last night. Didn't get to try any fooWas wanting to try this after eating at O-Ku in Charleston. The weather was perfect last night| a Wednesday| so a wait anywhere around 7 was expected. I called ahead and asked what the wait would be. The hostess let me know that we would be one of the first to be seated. I asked how many minutes that would take and she said it all depends on when we get there and they will assess. We got there within 10 minutes. The hostess said it was a 20 minute wait. Odd| since on the phone she said we would be one of the first seated. I felt like they baited us into coming in to wait. After over 20 minutes I asked how much longer and she said we'll be seated soon and that parties that came in after us had reservations. 10 minutes later| they seat our party of 3 at the bar. We asked for a table and she said there's a wait for a table and that there's 7 groups ahead of us for a table. Over the phone we were one of the first to be seated and w. We just left and went to Futo Buta instead. Don't appreciate how we were lied to from the get go. We shouldn't have stuck around.
1,0,Lack of service at the bar. It took us 15 minutes to take bartender attention. Wines are over price.---And their food is ok.
1,0,Terrible experience.  Was seated promptly and we sat at our table for 45 minutes without a one server coming to our table to take an order or even ask is how we were doing.  Had to walk up to the bar to get a beer and the place was half empty.  Had two beers without seeing a waitress at our table one time.  Truly dismal.  This place seems far more impressed by the temperature of their beer than they are with customer service.  Avoid at all costs.
1,0,Wow| ordered a burrito and asked for a cup of water.  Response:  sorry| no cup for water.  Can I get my tip back?  Too many other places for my biz.  Go to El Pollo Loco next door.------Added one to the one star cuz the burrito was ok| needs sauce though.
1,0,We took the 55 bus to Schwartz's. Upon arriving we had no idea how Schwartz's ordering worked so we waited in line. After 15 minutes in line we realized that if you are taking sandwiches to go that you don't have to wait in the line outside. Just walk in and place your order. Soooo| after waiting for 15 minutes we figured we would wait for a table. ------While waiting for the table we smelled a terrible sewage/garbage smell coming from a alley area directly connected to Schwartz. This totally ruined our appetites but we still waited. After 25 minutes our party of 4 was seated. We ordered the 1lb smoked meat platter for about 15 bucks. It comes with meat and bread. ------The smoked meat has a good flavor to it. It is spiced differently than Katz Deli and I really don't believe you can compare the two. Schwartz smoked meat is different from pastrami. I will say that when I visit Montreal again I will probably skip Schwartz if there is a line.  It is good but not worth a 25 minute wait and I could find comparable or better meats here in NYC.
1,0,I gotta say their smoked meat sandwich and pickle is delicious| sooo good.------However the place is shabby and small| often there's a lineup| and it's so warm in there that I question its sanitary condition :/ i see the dude cutting up the meat drenched in sweat... Doesn't reassure. Don't stare at the meat either| looks weird| greasy and just unappetizing if you're used to a lean clean diet.------If you like that dirty New York experience| go for it.
1,3,We were not impressed and will never go to Pearl of the Orient again. My dinner arrived lukewarm and under cooked. The worst thing about dining there was Food Poisoning. I felt sick to my stomach while I was eating. It hit me fast and I needed to leave right away. I mentioned to the waiter I wasn't feeling well and he just ignored that fact. It was a rough night. However I am glad that I didn't finish my food because I would have been in worse shape. I called the next day and spoke to the owner who just blew me off which is surprising. Food poisoning is serious bottom line.
1,3,American Chinese food. The schezuan style is not authentic here just as a heads up.  It's cooked in a tangy Americanized type suace instead of hot oil and red peppers. I've never had a curry taste so sticky/syrupy even with a coconut milk base. $16 for two small soft shell crab was kind of pricey in my opinion.------My waiter was clueless...wasn't very helpful or attentive. I was served a sushi roll of white tuna when I had asked for a sashimi dish as an appetizer.   He took it back| but I ended up waiting until after our dinner was done (30 minutes later) for me to tell him to cancel it altogether. Really disappointing.
1,0,I went here today for food for the first time and I was disappointed. First| we waited far too long to be served| everyone else around us had service| but it took forever for someone to finally notice that no one had asked us if we wanted even a drink. Then I ordered a veggie wrap| with salad. When it came| I was given half salad| half fries| so I had to have it fixed. Then the salad was drenched in dressing| so much so that I had to blot it with my napkin. And my wrap was dripping with oil| again - blotting with my napkin. When I got the bill I was charged extra for the half and half fries| that I didn't ask for in the first place. Doubt I'll return.
1,3,I like this place a lot but the waitress was having a bad hair day and totally spoiled the meal. So sadly i have marked it down from four stars to three.
1,3,Have you ever had the feeling like your wife might be slipped something while ordering a drink| or molested on the way to the can? That is how I felt while celebrating a birthday here. ------The place was down right creepy. ------Don't get me wrong| I love me a dive bar. I can eat on the curb in Mexico. I am a very trusting person. ------I hated this place. ------The drinks were ok| ther servers were not attentive| the decor and outside sitting area was cool.
1,3,....ambience great..great food.. service well not so much...wine list really!!!!---.the waitress had great personality and a wonderful attitude ...however she just didn't know how to be a server ....---so 5 stars when you train your staff.....and figure out the wine list....
1,0,Skip this one| and go to the one up the road (Val Vista) near Home Depot.  Could be the same owners| for all I know.------This one is dirty and will screw up your order every time.  But they make up for it by serving it COLD!  They just don't care.------We've been there several times| as we live across the street.  (We get lazy and think| "Well| maybe they're better now."  Nope| still sucks.
1,3,I wasn't really into this place. The menu isn't all that great| the service was unfriendly and the bacon cheeseburger I had was "just okay". At least my drink was cold...---I don't think I'll be coming back.
1,0,Can't review this restaurant because when I sat down a rude French woman told me since I was only one person I couldn't sit at a table and had to sit at a solitary barstool wedged into a corner. I then left.
1,3,it's starbucks and i love starbucks| but the girl behind the counter was rude to me and it was only just past 7am.  so sorry| lothian road starbucks you only get three stars.  maybe you should teach your staff how to be nice| especially to early morning customers on their way to work!!!
1,0,The lady at the counter was rude. Food portions are snack size. Hot rod theme that is a lame attempt at being cool. Nothing to brag about | which stinks because I like supporting independent food joints. This has been a disappointment 3 times in a row| you're out !
1,0,This was a terrible experience!  I called in my order ahead of time| which they had not made as I arrived to pick up my order.  We had to wait at least 10 minutes and then they skimped out on the order.  I did not check it| as I left| as I needed to leave| but found as I was on my way home| that I did not receive half of my order!  I called and asked about some of my order and was told that| yes| tortillas do come with fajitas!  I arrived back at the restaurant and asked the accompaniments be added to my order| as i did not receive them| which I did receive.  Really| it is that hard to provide what is on the menu to your customer!!
1,3,Food was alright| its Burger king so you should know what you are getting| nothing bad it was decent. On the plus side this location is large and pretty clean|  staff could use a bit work in customer service but it was alright------Took the guy at cash a bit of time to notice me but other then that no issue with my order------Also| 10 nuggets for 1.99 is back
1,0,Normally I enjoy ordering from here| however this particular evening| it took an hour and a half to deliver| my food was cold| and parts of it burned| and they forgot my salads| which is where they put the little dish of tzatziki in| so I had to eat dry| burned chicken. ---On top of that| it took an hour for them to deliver the salads again. ---After paying $35.00 for 2 meals| and a good tip to the idiot delivery guy| not impressed.---And on top of all that| no one at the restaurant apologized| neither did the delivery guy. Really disappointing.
1,3,This place was dead when we arrived.  Nothing changed in the 2 hours or so that we were there.  We had the tasting menu and it was good but not great.  The service was good but slow beyond words.  We asked to pack our dessert and take it back to the room because we were getting tired of sitting there for so long.  With so many culinary options in Vegas| Table 10 needs to step up it's game!
1,3,I really enjoyed this place| and I'm giving just 3 stars for 3 reasons: 1. Limited vegetarian options| and my sweetheart is a vegetarian; 2. Limited gluten-free options (hint: serving a sandwich without bread doesn't really count); and 3. Our waitress knew very little about the menu. ------That said| the steak special was delicious. The deviled eggs and Devils on horseback were also quite tasty. Everyone seemed to enjoy their meals| and service was responsive and friendly. The chicken wings looked fantastic but very sticky. I sampled the calamari| and it was beautifully prepared. ------It was a pleasant atmosphere with comfy seating. Oddly| the music was at a good level for conversation when we arrived| but was turned up in the middle of the meal| making conversation harder.
1,0,Slow service!  Lots of waitress conversating! BBQ sauce remains outstanding! Meat came out cold! Beans  just average! Not feeling none of the sides!---Start over FD!
1,0,Sat down for 15 minutes today at the sushi bar.  There were 4 people working and no one even acknowledged my existence| asked if I was picking up an order or if I'd like something to drink.  3 people walked in and either picked up call-in orders or placed an order| had it fulfilled.  I sat there watching| made eye contact with two of the people working| and still no one spoke to me.  After 15 minutes| I left and will never go back.
1,3,UGH!| I don't even know where to start. But I came for lunch around 11:45a and why| there was a nice welcome... well that was the end of it!. We sat down pretty quickly but it wasn't until around 12:10-12:15 when we finally got our drinks and finally placed our orders| in the end after having 3 waiters and having to stand up countless of time to ask about our food (chicken wings| Sandwich and a turkey wrap )| we finally received out food. Which included COLD! fries and under-cooked chicken wings. Needless to say I was completely disappointed with the experience| but I will DEFINITIVELY NOT return to this place.
1,3,It's a pretty nice place since they upgraded it| but I have not actually eaten here yet. Just drinks! The service is mediocre| which is why I gave it a 3| but the white peach margarita is phenomenal| so I highly recommend it!
1,0,Food was so bland| veggies weren't cooked| waitress nvr came by 2 check on us we had 2 keep calling over another waitress| our food was mixed up...they put my sides in my pasta instead of on the side like it's suppose 2 b... very disappointed. ..after we complained her solution was ok i won't charge u for the soda...seriously... this place has gone 2 hell... 2 years ago it was the spot...
1,0,Kept driving by this place on my way home from work so made reservations to try it out.  The good things: adobo chicken and broccoli salad.  The awesome thing: dessert in the funky bowl.  The really crappy thing (and this is not entirely the restaurant's fault): The obnoxious patrons who were sitting us who completely ruined our dining experience.  For the price of the food| as good as it was| not sure the place was for me.
1,3,Love the other angry crab| but the mesa location is bad. Service isn't good| atmosphere is not like the other locations and the good doesn't taste the same. Avoid this location.
1,0,The food was a 4.  Tastes good and LOTS of it!  However| our service was a 3.  Our waitress was not very organized and we had to keep asking for things.  It's a good place| but not sure I will go back.  Maybe to another one.
1,3,This place is a hole in the wall. My niece goes there regularly  so we decided to try it . The staff was not that friendly. Prices are reasonable.  We tried their pro with steak and brisket . The portion  was large but the soup did not have much flavor. The meat was very fatty and not much meat. Also tried their fried rice . It was oily and the pork was overcooked.  We did like their  desert macro on with ice cream. Food came quickly.
1,0,If you like getting insulted by the bartenders for your beverage choices| then you could give this place 2 stars.  I switch to pop or water if I know I'm going to be leaving soon and need to lose the buzz| and you would think bartenders would be a little understanding of people not wanting to drink and drive.  Of course| the male bartenders wear shirts that say "Party like a pinata - get smashed" and the female workers hardly wear anything at all.  If you have a low IQ and/or high testosterone levels| then this is probably a good choice for you.  I will never return.
1,0,The pizza here is mediocre. The sauce has very little flavor and I couldn't even taste the pepperoni. Plus when I recently talked with Greg the owner he was unfriendly on the phone and then hung up on me rudely. For my money Rossi's pizza down the road is far better. The pepperoni is flavorful and the sauce has that kick you can only get from Chicago style sauce. Plus the guys that work there are friendly. I would only recommend this place if you need a pizza on Monday night since Rossi's is closed that night.
1,0,The donuts here are amazing- unsure of their management. I stopped in to get a gift card for a friend one evening. The lady at the register was very helpful. Then her manager stepped in and was incredibly rude to her and me. Left a bad taste in my mouth.------Not something I normally see here. Go and get the maple bacon.
1,0,Just finished breakfast here. There are 4 customers here and our food took over 30 minutes to arrive. My order was wrong| they put the wrong veggies in my omelette. Hash browns are dry| generally uninspired breakfast. Save your money and eat at home.
1,0,Overpriced.------If you've been to Chipotle or Qdoba| then you know that this place isn't quite as good.  Maybe I was unlucky or maybe this co. needs to change their training procedure| but my bowl was a little on the skimpy side.  The person that helped me was clearly new since they asked the people around how much of veggies| beans| rice| meat| etc.  Because of that| mine was a little weak.------The chips are ultra-thin so feel especially oily.  I'll avoid Salsarita in the future--no need to tarnish the sterling brand that is Chipotle.------dmo out.
1,3,We came for brunch. I though the food was good - this place will be a nice| reliable go-to in the neighbourhood. I thought the server was rude and this really put a damper on the experience.
1,3,I was in 08/06/2016 and our server was Malory. The Brooklyn Family was delicious per usual and the Crispy Mozzarella was addicting. Food was and is always great here. Our service on the other hand was irritating and made me not want to come into this location again. She constantly interrupted us to push us to order and then boxed our pizza up when were still working on our first slice. She was not cut from her shift yet| she did not need our table for anyone waiting. She asked me 6 times for the payment in the space of 10 minutes. I did reach out Josh McGee per my receipt; I was never contacted. I love NYPD but I will not dine in this location again.
1,0,There is no AC in the store and it's 110 degrees outside. The employees can't manage to figure out how to make both smoothies and food at the same time| even though there's three of them. There is no sense of urgency and the wait is over 20 minutes.
1,0,One of the worst experience I have ever had. I had to wait 45 minutes for a smoothie. The manager| I am assuming because she was the one in yoga pants and on her cellphone| wasn't paying attention to anyone or any of the orders that were piling up. One of the workers walked out with three smoothies and never came back. The other two workers looked lost. I will never be returning to this place again.
1,3,The food is mostly tasty. The service is consistently poor. I frequently stop at all of their locations and have never come across a happy or kind employee. They always seem pissed off.  They do nickel and dime everything down to the amount of pickles hour aloud to put on a sandwich. I'll keep going for the food but the owner should maybe try some team building or infuse some positive energy into his employees.
1,0,I just made my first visit to this establishment and I can soundly say that I would rather stab myself in the face with a screw driver than eat here again. The food was illegally cold. I'm contacting the health department. I was given no napkins in the drive through and not offered sauce. The kid in the window looked at me like a crazy person when I asked for these things. Also| no receipt. I think I was over charged but can't prove it. Never again.
1,0,This location is nice and clean. But they got my order wrong not 2 but 3 times. I don't know it was like zombies were working there. Anyway I left. Never coming back to this location ever!
1,3,Very nice food.  Service is polite but they don't know the menu well. It is not my thing to order wine by a number.  Staff added tap water to sparkling water.  Nice apology but nothing more.  These big named restaurants do food on this scale amazingly well but they are too expensive for the service you get.
1,3,I come here every so often when I'm either craving pho or have a hangover from a party the night before.------Never truly had a GREAT experience but I always come back because of proximity as well as the quality of food. ------The exterior is not very appealing although they recently got a new door. Inside isn't much better considering there are wobbly tables held firm with cardboard. ------Customer service wise is unusual and uncomfortable. I am a very friendly person and smile often but if you can't simple have an upbeat tone and smile when seating or taking an order it's just weird.
1,0,Was not a pleasant experience. I went there for Valentines Day. I ordered a regular salad which was an okay price. The waitress asked me if I wanted just the salad or if I wanted to add chicken to it as well. She didn't mention any change in price when she asked this. When I got the check| the few pieces of chicken I did get added up to an additional $10 which was more than the actual salad itself. The chicken was also dried out and plain. I didn't even finish it because the salad was just not good after that. The total for my course alone was roughly $18 for regular lettuce and dried out chicken. Would not recommend and will not be back.
1,0,Came here to sit in the evening sun and enjoy my dinner. Was here 5 minutes and they dropped the blinds and took the sun away. I mentioned it and they said they were closing them all for the people inside. Yet| more than just me sat out there for thr sun (only 72 right now) and people were getting sweaters out of their cars. We left. Went elsewhere to sit in the sun and eat dinner.------Second time here....still not impressed. Maybe if the bartender would have been nicer.......
1,3,This place is so hit & miss| you never know what and when you will get your order. It's been 44 minutes and still waiting for a take out pizza.------I've been here before and it has never been this slow. Looks like the same staff but I have no idea what's going on in the kitchen.------I left and went for Indian instead.------A meal later and I am back for that pickup pizza. What? Still not ready? You've got to be kidding!------It took an hour to get a take out pizza! ------The worst part was the very RUDE woman who said I should call ahead of time! Excellent idea. I will call ahead next time but for delved and NOT from San Francesco!------On another occasion the crust was so burnt| not even the dogs would touch it
1,3,Wow! Stingiest McDonald I have ever been. You have to beg for ketchup and napkins.  The staff here are not friendly at all.  They don't even know how to fake a smile.
1,0,I always get my favourite thing on the menu here. The peri peri chicken sandwich and the potato wedges (my friend gets the mashed potatoes so we get the best of both). The service was BAD though| so slow and it took so long just to refill our waters. Other locations are better than this.
1,0,Incompetent workers that I cannot believe want a raise for doing such a piss poor job. I knew I should've checked my very simple when the simple worker took it. Hijack SOB can't tell their asses from a hole in the ground. Will NEVER be back.
1,0,We sat down three guys came in after us they were immediately given menus and drinks. 10 mins went by and no one EVEN acknowledged us. Until we made our way out the door| thanking us for coming. Even thanking us for coming.
1,0,I called in ahead of time to order our large sub so it would be ready when we got there upon arriving they told us they never received our order. To make sure we didn't call the wrong location we called the number I had just ordered from and the store we were just in answered so we walked back in and asked them to make out large hoagie. When it was finally ready they said they didn't have a large so they just made two smalls... Thanks for asking if that was ok. Worst caps experience! I'm still amazed that they could lose out order after they asked for a name and a call back number
1,3,Be warned if you order something like soulvaki it will take a bit longer since it is cooked fresh off the grill.  This place always has a line during the Taste of the Danforth festival.  Here they serve their gyros stuffed with fries (optional).  I came here for dinner - very busy.  Server was not very attentive during my visit.  Chicken soulvaki was a-okay.  My friend had the skewered shrimp.
1,0,I ordered breakfast here|  and the cashier got my order wrong|  I was dinning in and told him that |  but they gave me a to go bag. The soda machine was messed up|  every soda I choose was flat| not mention they were out of ketchup|  so plain hash brown for me and every other customer.  Stay away from this mcdonalds as I will.
1,0,I think it can be said that you do not go to the Flamingo for good food but I was staying here and my poor little feet could not take another step. ------I ordered a po' boy and boy was it poorly made and served. Our server switched mid-shift and never spoke a word to us about doing so. That's okay but then the next guy who served us was just rude and unfriendly. I would not have enjoyed my food if I did not have the crunkies.
1,0,Usually this is a go to spot once a month and I never have any issues but today's lunch was extremely disappointing ! The girl working clearly didn't want to be there today . She slops my herby turkey together annoyed | I asked for a pickle and she gives me one that's wilted and gross . I then asked for soup and she never got me the bagel bites to go with it .  Far from appetizing experience today .
1,3,This is the second time I have been here.  The first time| it was great.  Food was fabulous and the servers friendly. ... I decided to bring my husband.  After 10 minutes| I had ask for water and then we got a server.  It was not busy and the waitresses were just standing at the counter talking...Ugh!  Not so sure now that I will be back
